=== kubectl get events -n devops-app --sort-by=.metadata.creationTimestamp ===
LAST SEEN   TYPE      REASON                         OBJECT                                      MESSAGE
14m         Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled up replica set worker-deployment-6b7d866f5c from 0 to 1
14m         Normal    SuccessfulDelete               replicaset/backend-deployment-b7d78c97f     Deleted pod: backend-deployment-b7d78c97f-ntrnd
14m         Normal    Killing                        pod/backend-deployment-b7d78c97f-ntrnd      Stopping container backend
14m         Normal    Scheduled                      pod/worker-deployment-6b7d866f5c-x2nrs      Successfully assigned devops-app/worker-deployment-6b7d866f5c-x2nrs to ip-10-0-3-158.ec2.internal
14m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled up replica set backend-deployment-7cf5794d48 from 0 to 1
14m         Normal    SuccessfulDelete               replicaset/worker-deployment-fb6d89564      Deleted pod: worker-deployment-fb6d89564-xk9wm
14m         Normal    Killing                        pod/worker-deployment-fb6d89564-xk9wm       Stopping container worker
14m         Normal    Scheduled                      pod/backend-deployment-7cf5794d48-2vwcd     Successfully assigned devops-app/backend-deployment-7cf5794d48-2vwcd to ip-10-0-3-158.ec2.internal
14m         Normal    SuccessfulCreate               replicaset/backend-deployment-7cf5794d48    Created pod: backend-deployment-7cf5794d48-2vwcd
14m         Normal    Scheduled                      pod/frontend-deployment-589c7cc4c-st6f8     Successfully assigned devops-app/frontend-deployment-589c7cc4c-st6f8 to ip-10-0-3-158.ec2.internal
14m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-589c7cc4c from 0 to 1
14m         Normal    Pulling                        pod/frontend-deployment-589c7cc4c-st6f8     Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:fd3457cd"
14m         Normal    Started                        pod/frontend-deployment-589c7cc4c-st6f8     Started container frontend
14m         Normal    Pulling                        pod/worker-deployment-6b7d866f5c-x2nrs      Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:fd3457cd"
14m         Normal    Pulling                        pod/backend-deployment-7cf5794d48-2vwcd     Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:fd3457cd"
14m         Normal    Pulled                         pod/frontend-deployment-589c7cc4c-st6f8     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:fd3457cd" in 485ms (485ms including waiting). Image size: 23054516 bytes.
14m         Normal    Created                        pod/frontend-deployment-589c7cc4c-st6f8     Created container: frontend
8m          Normal    Started                        pod/backend-deployment-7cf5794d48-2vwcd     Started container backend
14m         Normal    Started                        pod/worker-deployment-6b7d866f5c-x2nrs      Started container worker
8m1s        Normal    Created                        pod/backend-deployment-7cf5794d48-2vwcd     Created container: backend
14m         Normal    Pulled                         pod/worker-deployment-6b7d866f5c-x2nrs      Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:fd3457cd" in 2.05s (2.05s including waiting). Image size: 64068078 bytes.
14m         Normal    Pulled                         pod/backend-deployment-7cf5794d48-2vwcd     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:fd3457cd" in 2.192s (2.192s including waiting). Image size: 66625978 bytes.
14m         Normal    Created                        pod/worker-deployment-6b7d866f5c-x2nrs      Created container: worker
8m1s        Normal    Pulled                         pod/backend-deployment-7cf5794d48-2vwcd     Container image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:fd3457cd" already present on machine
3m54s       Warning   BackOff                        pod/backend-deployment-7cf5794d48-2vwcd     Back-off restarting failed container backend in pod backend-deployment-7cf5794d48-2vwcd_devops-app(7d8e654a-1a7b-46c9-bd3c-67d321438db6)
13m         Normal    SuccessfulCreate               replicaset/frontend-deployment-589c7cc4c    Created pod: frontend-deployment-589c7cc4c-vzd75
13m         Normal    SuccessfulDelete               replicaset/frontend-deployment-7bf9c644b    Deleted pod: frontend-deployment-7bf9c644b-77k67
13m         Normal    Scheduled                      pod/frontend-deployment-589c7cc4c-vzd75     Successfully assigned devops-app/frontend-deployment-589c7cc4c-vzd75 to ip-10-0-2-240.ec2.internal
13m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-589c7cc4c from 1 to 2
13m         Normal    Killing                        pod/frontend-deployment-7bf9c644b-77k67     Stopping container frontend
13m         Normal    Pulling                        pod/frontend-deployment-589c7cc4c-vzd75     Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:fd3457cd"
13m         Normal    Started                        pod/frontend-deployment-589c7cc4c-vzd75     Started container frontend
13m         Normal    Created                        pod/frontend-deployment-589c7cc4c-vzd75     Created container: frontend
13m         Normal    Pulled                         pod/frontend-deployment-589c7cc4c-vzd75     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:fd3457cd" in 459ms (459ms including waiting). Image size: 23054516 bytes.
3m34s       Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-58f4f6bc68 from 0 to 1
3m34s       Normal    Killing                        pod/worker-deployment-6b7d866f5c-x2nrs      Stopping container worker
3m34s       Normal    SuccessfulDelete               replicaset/backend-deployment-b7d78c97f     Deleted pod: backend-deployment-b7d78c97f-f46d5
3m34s       Normal    SuccessfulCreate               replicaset/worker-deployment-69b98b945d     Created pod: worker-deployment-69b98b945d-589w2
3m34s       Normal    Killing                        pod/frontend-deployment-589c7cc4c-st6f8     Stopping container frontend
3m34s       Normal    Killing                        pod/backend-deployment-b7d78c97f-f46d5      Stopping container backend
3m34s       Normal    Scheduled                      pod/worker-deployment-69b98b945d-589w2      Successfully assigned devops-app/worker-deployment-69b98b945d-589w2 to ip-10-0-3-165.ec2.internal
3m34s       Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled up replica set worker-deployment-69b98b945d from 0 to 1
3m34s       Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled down replica set worker-deployment-6b7d866f5c from 1 to 0
3m34s       Normal    Scheduled                      pod/frontend-deployment-58f4f6bc68-7wrkc    Successfully assigned devops-app/frontend-deployment-58f4f6bc68-7wrkc to ip-10-0-3-158.ec2.internal
3m34s       Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled down replica set frontend-deployment-589c7cc4c from 2 to 1
3m34s       Normal    SuccessfulDelete               replicaset/worker-deployment-6b7d866f5c     Deleted pod: worker-deployment-6b7d866f5c-x2nrs
3m34s       Normal    Scheduled                      pod/backend-deployment-79cdd7ddd5-tpqpl     Successfully assigned devops-app/backend-deployment-79cdd7ddd5-tpqpl to ip-10-0-3-158.ec2.internal
3m34s       Normal    SuccessfulCreate               replicaset/frontend-deployment-58f4f6bc68   Created pod: frontend-deployment-58f4f6bc68-7wrkc
3m34s       Normal    SuccessfulDelete               replicaset/frontend-deployment-589c7cc4c    Deleted pod: frontend-deployment-589c7cc4c-st6f8
3m34s       Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled up replica set backend-deployment-79cdd7ddd5 from 0 to 1
3m34s       Normal    SuccessfulCreate               replicaset/backend-deployment-79cdd7ddd5    Created pod: backend-deployment-79cdd7ddd5-tpqpl
3m33s       Normal    Created                        pod/frontend-deployment-58f4f6bc68-7wrkc    Created container: frontend
3m33s       Normal    Pulling                        pod/frontend-deployment-58f4f6bc68-7wrkc    Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:3b7291b1"
3m33s       Normal    Pulling                        pod/backend-deployment-79cdd7ddd5-tpqpl     Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:3b7291b1"
3m33s       Normal    Pulled                         pod/frontend-deployment-58f4f6bc68-7wrkc    Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:3b7291b1" in 452ms (452ms including waiting). Image size: 23054534 bytes.
3m33s       Normal    Started                        pod/frontend-deployment-58f4f6bc68-7wrkc    Started container frontend
3m32s       Normal    Pulling                        pod/worker-deployment-69b98b945d-589w2      Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:3b7291b1"
3m31s       Normal    Pulled                         pod/backend-deployment-79cdd7ddd5-tpqpl     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:3b7291b1" in 1.841s (1.842s including waiting). Image size: 66625996 bytes.
3m31s       Normal    Created                        pod/backend-deployment-79cdd7ddd5-tpqpl     Created container: backend
3m31s       Normal    Started                        pod/backend-deployment-79cdd7ddd5-tpqpl     Started container backend
3m31s       Normal    Created                        pod/worker-deployment-69b98b945d-589w2      Created container: worker
3m31s       Normal    Pulled                         pod/worker-deployment-69b98b945d-589w2      Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-worker:3b7291b1" in 1.603s (1.603s including waiting). Image size: 64069494 bytes.
3m30s       Normal    Started                        pod/worker-deployment-69b98b945d-589w2      Started container worker
3m24s       Normal    Scheduled                      pod/backend-deployment-7cf5794d48-8852f     Successfully assigned devops-app/backend-deployment-7cf5794d48-8852f to ip-10-0-3-158.ec2.internal
3m24s       Normal    SuccessfulCreate               replicaset/backend-deployment-7cf5794d48    Created pod: backend-deployment-7cf5794d48-8852f
3m23s       Normal    Started                        pod/backend-deployment-7cf5794d48-8852f     Started container backend
3m23s       Normal    Created                        pod/backend-deployment-7cf5794d48-8852f     Created container: backend
3m23s       Normal    Pulled                         pod/backend-deployment-7cf5794d48-8852f     Container image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:fd3457cd" already present on machine
3m21s       Normal    Scheduled                      pod/frontend-deployment-58f4f6bc68-76x59    Successfully assigned devops-app/frontend-deployment-58f4f6bc68-76x59 to ip-10-0-2-240.ec2.internal
3m21s       Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled up replica set frontend-deployment-58f4f6bc68 from 1 to 2
3m21s       Normal    Killing                        pod/frontend-deployment-589c7cc4c-vzd75     Stopping container frontend
3m21s       Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled down replica set frontend-deployment-589c7cc4c from 1 to 0
3m21s       Normal    SuccessfulCreate               replicaset/frontend-deployment-58f4f6bc68   Created pod: frontend-deployment-58f4f6bc68-76x59
3m21s       Normal    SuccessfulDelete               replicaset/frontend-deployment-589c7cc4c    Deleted pod: frontend-deployment-589c7cc4c-vzd75
3m19s       Normal    Pulling                        pod/frontend-deployment-58f4f6bc68-76x59    Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:3b7291b1"
3m18s       Normal    SuccessfulCreate               replicaset/backend-deployment-79cdd7ddd5    Created pod: backend-deployment-79cdd7ddd5-f2277
3m18s       Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled down replica set backend-deployment-7cf5794d48 from 1 to 0
3m18s       Normal    Pulled                         pod/frontend-deployment-58f4f6bc68-76x59    Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:3b7291b1" in 826ms (826ms including waiting). Image size: 23054534 bytes.
3m18s       Normal    Created                        pod/frontend-deployment-58f4f6bc68-76x59    Created container: frontend
3m18s       Normal    Started                        pod/frontend-deployment-58f4f6bc68-76x59    Started container frontend
3m18s       Normal    Killing                        pod/backend-deployment-7cf5794d48-8852f     Stopping container backend
3m18s       Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled up replica set backend-deployment-79cdd7ddd5 from 1 to 2
3m18s       Normal    SuccessfulDelete               replicaset/backend-deployment-7cf5794d48    Deleted pod: backend-deployment-7cf5794d48-8852f
3m18s       Normal    Scheduled                      pod/backend-deployment-79cdd7ddd5-f2277     Successfully assigned devops-app/backend-deployment-79cdd7ddd5-f2277 to ip-10-0-2-240.ec2.internal
3m17s       Normal    Pulling                        pod/backend-deployment-79cdd7ddd5-f2277     Pulling image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:3b7291b1"
3m14s       Normal    Pulled                         pod/backend-deployment-79cdd7ddd5-f2277     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:3b7291b1" in 2.304s (2.304s including waiting). Image size: 66625996 bytes.
3m14s       Normal    Created                        pod/backend-deployment-79cdd7ddd5-f2277     Created container: backend
3m14s       Normal    Started                        pod/backend-deployment-79cdd7ddd5-f2277     Started container backend
