=== kubectl get events -n devops-app --sort-by=.metadata.creationTimestamp ===
LAST SEEN   TYPE      REASON                         OBJECT                                      MESSAGE
45m         Normal    Pulled                         pod/frontend-deployment-54cddf9b6-dmb99     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-frontend:403fde96" in 2.586s (2.586s including waiting). Image size: 23054530 bytes.
45m         Normal    Started                        pod/backend-deployment-6f4d55f575-vk845     Started container backend
45m         Normal    Created                        pod/backend-deployment-6f4d55f575-vk845     Created container: backend
45m         Normal    Pulled                         pod/backend-deployment-6f4d55f575-vk845     Successfully pulled image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:403fde96" in 4.974s (4.974s including waiting). Image size: 66625660 bytes.
42m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/frontend-hpa        invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
33s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/frontend-hpa        failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
33s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/backend-hpa         failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
42m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/backend-hpa         invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: unable to fetch metrics from resource metrics API: the server could not find the requested resource (get pods.metrics.k8s.io)
31m         Normal    ScalingReplicaSet              deployment/worker-deployment                Scaled down replica set worker-deployment-7c8776696d from 1 to 0
31m         Normal    SuccessfulDelete               replicaset/frontend-deployment-54cddf9b6    Deleted pod: frontend-deployment-54cddf9b6-v9vn4
31m         Normal    Killing                        pod/frontend-deployment-54cddf9b6-v9vn4     Stopping container frontend
31m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled down replica set backend-deployment-6f4d55f575 from 2 to 1
26m         Normal    ScalingReplicaSet              deployment/backend-deployment               Scaled up replica set backend-deployment-b7d78c97f from 0 to 1
31m         Normal    Killing                        pod/backend-deployment-6f4d55f575-8gc4d     Stopping container backend
31m         Normal    ScalingReplicaSet              deployment/frontend-deployment              Scaled down replica set frontend-deployment-54cddf9b6 from 2 to 1
